Ano;CodOrgao;SiglaPPG;NomePPG;NivelCursoPG;NrMatriculados;NrTitulados
2019;601;PPGBOT;Programa de Pós-Graduação em Botânica;Doutorado;53;10
2018;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Doutorado;36;8
2018;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Doutorado;23;4
2016;414;PPGGAST;Programa de Pós-Graduação Ciências em Gastroenterologia e Hepatologia;Mestrado Acadêmico;40;3
2021;1859;PPGCTA;Programa de Pós-Graduação em Ciência e Tecnologia de Alimentos;Mestrado Acadêmico;40;8
2012;653;PPGEDU;Programa de Pós-Graduação em Educação;Mestrado Acadêmico;251;44
2021;1313;PPGENF;Programa de Pós-Graduação em Enfermagem;Mestrado Acadêmico;72;21
2019;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Acadêmico;150;51
2015;1536;PPGAGRON;Programa de Pós-Graduação em Agronegócios;Doutorado;31;4
2018;1536;PPGAGRON;Programa de Pós-Graduação em Agronegócios;Doutorado;48;3
2011;412;PPGCARD;Programa de Pós-Graduação em Ciências da Saúde: Cardiologia e Ciências Cardiovasculares;Doutorado;60;6
2017;637;PPGFIS;Programa de Pós-Graduação em Física;Mestrado Acadêmico;42;13
2021;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Doutorado;101;27
2020;395;PPGRH;Programa de Pós-Graduação em Recursos Hídricos e Saneamento Ambiental;Doutorado;108;12
2018;1222;PPGENDO;Programa de Pós-Graduação em Ciências Médicas: Endocrinologia;Doutorado;61;12
2011;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Doutorado;23;1
2022;1140;PPGEE;Programa de Pós-Graduação em Engenharia Elétrica;Doutorado;42;8
2016;9003;PPGPSSS;Programa de Pós-Graduação em Política Social e Serviço Social;Mestrado Acadêmico;13;0
2016;435;PPGMUS;Programa de Pós-Graduação em Música;Mestrado Acadêmico;45;13
2017;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Doutorado;108;16
2014;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Mestrado Acadêmico;70;21
2012;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Mestrado Acadêmico;37;9
2013;601;PPGBOT;Programa de Pós-Graduação em Botânica;Mestrado Acadêmico;33;9
2020;395;PPGRH;Programa de Pós-Graduação em Recursos Hídricos e Saneamento Ambiental;Mestrado Acadêmico;75;21
2015;1248;PPGCIMAT;Programa de Pós-Graduação em Ciências dos Materiais;Mestrado Acadêmico;53;9
2011;1140;PPGEE;Programa de Pós-Graduação em Engenharia Elétrica;Mestrado Acadêmico;60;7
2020;653;PPGEDU;Programa de Pós-Graduação em Educação;Mestrado Acadêmico;182;45
2016;393;PROMEC;Programa de Pós-Graduação em Engenharia Mecânica;Mestrado Acadêmico;122;32
2017;10339;PPGMUSPA;Programa de Pós-Graduação em Museologia e Patrimônio;Mestrado Acadêmico;10;0
2017;445;PGDR;Programa de Pós-Graduação em Desenvolvimento Rural;Doutorado;87;14
2012;1377;PPGSOLO;Programa de Pós-Graduação em Ciência do Solo;Doutorado;44;5
2011;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Doutorado;9;1
2016;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Doutorado;40;8
2015;1521;PPGBCM;Programa de Pós-Graduação em Biologia Celular e Molecular;Mestrado Acadêmico;69;15
2020;480;PPGSOC;Programa de Pós-Graduação em Sociologia;Doutorado;93;17
2018;602;PPGECOL;Programa de Pós-Graduação em Ecologia;Doutorado;41;7
2012;2612;PPGENFIS;Programa de Pós-Graduação em Ensino de Física;Mestrado Profissional;30;7
2014;3108;PPGAC;Programa de Pós-Graduação em Artes Cênicas;Mestrado Acadêmico;41;12
2023;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Mestrado Acadêmico;55;19
2013;3108;PPGAC;Programa de Pós-Graduação em Artes Cênicas;Mestrado Acadêmico;37;11
2019;1433;PGGEA;Programa de Pós-Graduação em Geografia;Doutorado;99;10
2016;653;PPGEDU;Programa de Pós-Graduação em Educação;Doutorado;206;39
2011;1248;PPGCIMAT;Programa de Pós-Graduação em Ciências dos Materiais;Mestrado Acadêmico;49;10
2018;653;PPGEDU;Programa de Pós-Graduação em Educação;Doutorado;206;38
2018;478;PPGHIS;Programa de Pós-Graduação em História;Doutorado;129;24
2014;7586;PPGFARTP;Programa de Pós-Graduação em Ciências Biológicas: Farmacologia e Terapêutica;Doutorado;8;0
2016;601;PPGBOT;Programa de Pós-Graduação em Botânica;Mestrado Acadêmico;28;6
2012;445;PGDR;Programa de Pós-Graduação em Desenvolvimento Rural;Mestrado Acadêmico;51;13
2016;401;PPGEP;Programa de Pós-Graduação em Engenharia de Produção;Mestrado Acadêmico;83;26
2023;1074;PPGBIOAN;Programa de Pós-Graduação em Biologia Animal;Doutorado;45;8
2017;1275;PPGODONT;Programa de Pós-Graduação em Odontologia;Mestrado Acadêmico;65;26
2019;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Doutorado;36;2
2011;2612;PPGENFIS;Programa de Pós-Graduação em Ensino de Física;Mestrado Profissional;38;5
2017;706;PPGCC;Programa de Pós-Graduação em Computação;Mestrado Acadêmico;190;41
2018;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Mestrado Profissional;10;1
2018;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Acadêmico;187;52
2014;644;PPGMATPU;Programa de Pós-Graduação em Matemática Pura;Doutorado;28;1
2020;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Doutorado;12;9
2010;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Mestrado Acadêmico;120;41
2017;605;PPGNEURO;Programa de Pós-Graduação em Ciências Biológicas: Neurociências;Doutorado;39;6
2023;2685;PPGCMED;Programa de Pós-Graduação em Ciências Médicas;Doutorado;78;17
2016;7946;PPGCLIC;Programa de Pós-Graduação em Psicanálise: Clínica e Cultura;Mestrado Acadêmico;40;0
2011;3646;PPGECIES;Programa de Pós-Graduação Educação em Ciências: Química da Vida e Saúde - Associação de IES;Doutorado;36;3
2015;427;PPGDIR;Programa de Pós-Graduação em Direito;Doutorado;77;23
2019;1132;PPGMAPLI;Programa de Pós-Graduação em Matemática Aplicada;Doutorado;39;8
2022;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Mestrado Acadêmico;45;1
2021;395;PPGRH;Programa de Pós-Graduação em Recursos Hídricos e Saneamento Ambiental;Doutorado;117;10
2019;1859;PPGCTA;Programa de Pós-Graduação em Ciência e Tecnologia de Alimentos;Mestrado Acadêmico;28;12
2010;418;PPGPSQ;Programa de Pós-Graduação em Psiquiatria e Ciências do Comportamento;Doutorado;43;4
2013;684;PPGLET;Programa de Pós-Graduação em Letras;Doutorado;208;31
2018;466;PPGVET;Programa de Pós-graduação em Ciências Veterinárias;Mestrado Acadêmico;112;39
